n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,feature_block,model,split,top_bottom_spread,after_cost_spread,top_mean_return,bottom_mean_return,top_hit_rate,top_n,bottom_n,auc_lower_95,auc_upper_95,target
183,0.48633879781420764,0.45901639344262296,0.46593354052115704,-0.07908063090619531,0.7172962372168071,0.26164707389238584,0.47298589529046137,0.48292300164916013,market_only,logistic,final_holdout,-0.02132806865767558,-0.02332806865767558,-0.0017171909461004295,0.01961087771157515,0.4444444444444444,36,36,0.39641283636519165,0.5554124115267948,market_subtracted
183,0.48633879781420764,0.41530054644808745,0.42069089170451823,-0.17291221063744922,0.753612056556728,0.2786583257451995,0.40210375328711445,0.42535059654707674,market_only,xgboost,final_holdout,-0.02376290008764254,-0.025762900087642537,-0.009177219280520517,0.014585680807122022,0.3611111111111111,36,36,0.32799106198913786,0.47733391324895674,market_subtracted
183,0.48633879781420764,0.5573770491803278,0.5628735357398996,0.13707885877211498,0.7250295874845177,0.2594514463820031,0.6263447286636386,0.6132557735813997,sentence_sentiment,logistic,final_holdout,0.029368230022256442,0.02736823002225644,0.01926336875372093,-0.010104861268535511,0.6666666666666666,36,36,0.5316099803363735,0.7180136896757806,market_subtracted
183,0.48633879781420764,0.5792349726775956,0.582655988524982,0.17048504122943703,0.6847017168175852,0.24537766891578897,0.6104470475735118,0.5965701489016524,sentence_sentiment,xgboost,final_holdout,0.04220075761623983,0.04020075761623983,0.010066387625505848,-0.032134369990733984,0.6111111111111112,36,36,0.521804077314948,0.6911835962776939,market_subtracted
183,0.48633879781420764,0.5628415300546448,0.5702844848195074,0.16707604651291572,0.6973683204327187,0.2508914622026109,0.6123595505617978,0.5809915701874463,financial_dictionary,logistic,final_holdout,0.02677071086748445,0.024770710867484447,0.007247363702851466,-0.019523347164632984,0.6111111111111112,36,36,0.523255877005877,0.6875275515716961,market_subtracted
183,0.48633879781420764,0.5245901639344263,0.5315562993067177,0.07325363704994933,0.7026992904846548,0.254252440907636,0.5547453980396845,0.5333315358575418,financial_dictionary,xgboost,final_holdout,0.016276882570599546,0.014276882570599546,-0.004124570670013075,-0.02040145324061262,0.5,36,36,0.46336244665278425,0.6274172487750678,market_subtracted
183,0.48633879781420764,0.5956284153005464,0.598314606741573,0.20025246159134083,0.6845620102401997,0.2440559732664832,0.6143915849868515,0.5734710324227462,historical_surprise,logistic,final_holdout,0.04157197075215176,0.039571970752151756,0.010179689739468261,-0.031392281012683494,0.5833333333333334,36,36,0.5317074566645014,0.6932784842443104,market_subtracted
183,0.48633879781420764,0.5409836065573771,0.5439278030121922,0.08988778346976538,0.695956417536066,0.25058766212224853,0.5745876165431509,0.5246718399981909,historical_surprise,xgboost,final_holdout,0.03426192927957187,0.03226192927957187,0.0030927507687308915,-0.031169178510840976,0.5555555555555556,36,36,0.4896463033915141,0.6616625615763546,market_subtracted
183,0.48633879781420764,0.5573770491803278,0.5625747071479799,0.13507191312961922,0.7544543292427404,0.26957204207366314,0.6115228305044227,0.5980006285926361,all_features,logistic,final_holdout,0.022394507537200844,0.020394507537200846,0.0173761577462368,-0.005018349790964042,0.6111111111111112,36,36,0.5103613043737584,0.7073221008773717,market_subtracted
183,0.48633879781420764,0.546448087431694,0.5504422663160411,0.10536244363874489,0.7012926598820018,0.2531244205569288,0.5770977767152762,0.5612844507589929,all_features,xgboost,final_holdout,0.03730578087045307,0.035305780870453066,0.0031566087437492514,-0.03414917212670381,0.5555555555555556,36,36,0.48797558880247127,0.6661268673650375,market_subtracted
53,0.6226415094339622,0.3584905660377358,0.4257575757575757,-0.17747333896177359,0.7095240760523602,0.25818065244103405,0.5151515151515151,0.626161996976727,market_only,logistic,walk_forward_2019,-0.0014859109330431991,-0.003485910933043199,0.0067868726329681885,0.008272783566011388,0.5,10,10,,,beta_adjusted
73,0.410958904109589,0.5753424657534246,0.5337209302325582,0.07562244541117406,0.6975372046448025,0.2519654389774423,0.4751937984496124,0.44484578298035216,market_only,logistic,walk_forward_2020,0.014754587837642306,0.012754587837642306,0.01948366408957017,0.004729076251927862,0.5,14,14,,,beta_adjusted
66,0.6212121212121212,0.3787878787878788,0.4765853658536585,-0.07901836773196717,0.7034899242930504,0.25516645162114804,0.504390243902439,0.6259462513200851,market_only,logistic,walk_forward_2021,-0.02424477746625124,-0.026244777466251243,-0.004548086163194761,0.01969669130305648,0.46153846153846156,13,13,,,beta_adjusted
83,0.5421686746987951,0.3855421686746988,0.39649122807017545,-0.21468744361099407,0.7067177797885258,0.25676442893723245,0.4456140350877193,0.5349391348072752,market_only,logistic,walk_forward_2022,-0.019737405732697166,-0.021737405732697168,-0.014320669086123866,0.005416736646573302,0.4375,16,16,,,beta_adjusted
53,0.6226415094339622,0.5660377358490566,0.6121212121212122,0.22951943856495616,0.6854418145238389,0.24627486451177635,0.6060606060606061,0.7423220172176612,market_only,xgboost,walk_forward_2019,0.021053682428034966,0.019053682428034964,0.02313728910793897,0.0020836066799040038,0.8,10,10,,,beta_adjusted
73,0.410958904109589,0.5616438356164384,0.5472868217054263,0.09457364341085271,0.6970771238185562,0.25144565873251395,0.5275193798449612,0.4787517680228751,market_only,xgboost,walk_forward_2020,-0.010421997197691726,-0.012421997197691726,-0.010420167892773374,1.8293049183532823e-06,0.42857142857142855,14,14,,,beta_adjusted
66,0.6212121212121212,0.4696969696969697,0.4795121951219512,-0.03991861639585407,0.7234477296752955,0.26484428029310864,0.4585365853658536,0.6231257113042517,market_only,xgboost,walk_forward_2021,-0.01240295151819664,-0.01440295151819664,0.009037430215271647,0.021440381733468288,0.6153846153846154,13,13,,,beta_adjusted
83,0.5421686746987951,0.43373493975903615,0.44707602339181285,-0.1115373082191858,0.7541994979754864,0.2794646968667428,0.41461988304093567,0.47436616936865483,market_only,xgboost,walk_forward_2022,-0.02419133806268109,-0.02619133806268109,-0.017768525398658763,0.006422812664022327,0.375,16,16,,,beta_adjusted
53,0.6226415094339622,0.5660377358490566,0.5924242424242424,0.18184261810373242,0.7950743521326199,0.2782613413463751,0.5893939393939394,0.6800798184774535,sentence_sentiment,logistic,walk_forward_2019,0.04978992379527397,0.04778992379527397,0.020772536100039433,-0.029017387695234535,0.7,10,10,,,beta_adjusted
