symbol,company_name,year,quarter,call_datetime,pres_pos,pres_neg,pres_neu,qa_pos,qa_neg,qa_neu,sentiment_mismatch_pos,sentiment_mismatch_neg,evasion_index,abnormal_return_5d
CHRW,"C.H. Robinson Worldwide, Inc.",2021,2,2021-07-28 18:00:00,0.648647,0.17367686,0.17767613,0.24552014,0.068147294,0.68633264,0.40312687,0.10552957,0.44518763,0.007429162024406584
CHRW,"C.H. Robinson Worldwide, Inc.",2021,1,2021-04-27 17:00:00,0.6043264,0.3045829,0.0910907,0.22625698,0.13118997,0.64255303,0.37806946,0.17339292,0.38831177,0.028174561635123257
CHRW,"C.H. Robinson Worldwide, Inc.",2022,3,2022-11-02 08:30:00,0.43187848,0.42315277,0.14496873,0.19388857,0.15400569,0.65210575,0.2379899,0.2691471,0.28163043,-0.04907687552320961
CHRW,"C.H. Robinson Worldwide, Inc.",2022,2,2022-07-27 17:00:00,0.6546292,0.279268,0.06610283,0.17957981,0.23331851,0.5871017,0.47504938,0.04594949,0.3843339,0.03129179318513394
CHRW,"C.H. Robinson Worldwide, Inc.",2023,3,2023-11-01 17:00:00,0.11623614,0.015320423,0.8684434,0.1889898,0.043519616,0.76749057,-0.07275366,-0.028199192,0.089210145,-0.0422856216391347
CHRW,"C.H. Robinson Worldwide, Inc.",2024,1,2024-05-01 17:00:00,0.8362194,0.07289733,0.090883315,0.11748495,0.080198236,0.80231684,0.71873444,-0.007300906,0.67091286,0.08820778195379034
CMI,Cummins Inc.,2020,4,2020-11-12 09:00:00,0.56010133,0.25932646,0.18057221,0.17781815,0.03519976,0.78698206,0.38228318,0.2241267,0.4407897,-0.004297603830274216
CMI,Cummins Inc.,2022,2,2022-08-02 10:00:00,0.4963252,0.31155667,0.19211821,0.3481726,0.15015903,0.50166833,0.14815259,0.16139764,0.24899064,0.0003529623046415677
CMI,Cummins Inc.,2023,2,2023-08-03 10:00:00,0.6770889,0.19628997,0.1266211,0.25701296,0.18735853,0.55562854,0.42007595,0.008931443,0.3762099,-0.08546685312677675
CMI,Cummins Inc.,2024,3,2024-11-05 10:00:00,0.41604248,0.43548915,0.14846833,0.28332695,0.03922208,0.6774509,0.13271552,0.39626706,0.28184834,0.04298271176668735
CMI,Cummins Inc.,2024,1,2024-05-02 10:00:00,0.038035195,0.9182432,0.043721627,0.3058558,0.030801753,0.6633425,-0.26782063,0.88744146,0.025230361,-0.0012662425298245947
